Match Number,Article Number,Mention Id,Mention Text,Linked Balls,sub_entity,label_detailed
1,501845,m11,Imrul Kayes attacked from the outset,"2:1.1.0,2:1.2.0,2:1.3.0,2:1.4.0,2:1.5.0,2:2.1.0,2:2.2.0,2:2.3.0,2:2.4.0,2:2.5.0,2:2.6.0,2:3.3.0,2:3.4.0,2:3.5.0,2:3.6.0,2:4.2.0,2:4.3.0,2:4.3.1,2:4.4.0,2:4.5.0,2:4.6.0,2:4.6.1,2:5.1.0,2:5.2.0,2:5.3.0,2:5.4.0,2:5.5.0,2:5.6.0,2:6.4.0,2:6.5.0,",BAT,BAT(Imrul)
1,501845,m12,Sehwag had slammed the first ball of the tournament to the cover boundary,1:0.1.0,FOUR,1st of FOUR(Sehwag)
1,501845,m13,in his second over he strayed twice on to Sachin Tendulkar's pads,"1:2.1.0,1:2.5.0,",OTHERS,1:2.1.0 UNION 1:2.5.0
1,501845,m14,he conceded 69 off seven,"1:0.1.0,1:0.2.0,1:0.3.0,1:0.4.0,1:0.5.0,1:0.6.0,1:2.1.0,1:2.2.0,1:2.3.0,1:2.4.0,1:2.5.0,1:2.6.0,1:12.1.0,1:12.2.0,1:12.3.0,1:12.4.0,1:12.5.0,1:12.6.0,1:26.1.0,1:26.2.0,1:26.3.0,1:26.4.0,1:26.5.0,1:26.6.0,1:28.1.0,1:28.2.0,1:28.3.0,1:28.4.0,1:28.5.0,1:28.6.0,1:28.6.1,1:34.1.0,1:34.2.0,1:34.3.0,1:34.4.0,1:34.5.0,1:34.6.0,1:34.6.1,1:34.6.2,1:49.1.0,1:49.2.0,1:49.3.0,1:49.4.0,1:49.5.0,1:49.6.0,",BOWL,BOWL(Shafiul Islam)
1,501845,m15,India raced to 36 after four overs,1:3.6.0,BALL,"BALL(INNINGS1, SCORE, 36, ?)"
1,501845,m16,"Razzak looped the ball into Sehwag from round the wicket, following the batsman and cramping him for room as he tried to hit inside out through the off side","1:4.2.0,1:4.3.0,1:4.4.0,1:4.5.0,1:4.6.0,1:6.1.0,1:6.3.0,1:6.4.0,1:6.4.1,1:6.5.0,1:6.6.0,1:10.1.0,1:10.2.0,1:10.3.0,1:14.1.0,1:14.2.0,1:14.4.0,1:14.5.0,1:14.6.0,1:24.3.0,1:24.4.0,1:24.5.0,1:24.6.0,1:36.2.0,1:36.3.0,1:36.4.0,1:36.5.0,1:36.6.0,1:42.4.0,1:42.6.0,1:44.2.0,1:44.4.0,1:44.5.0,1:44.6.0,",BATBOWL,BOWL(Razzak) AND BAT(Sehwag)
1,501845,m17,Sehwag had scored 12 off his first six balls and 13 off his next 24,"1:0.1.0,1:0.2.0,1:0.3.0,1:0.4.0,1:0.5.0,1:0.6.0,1:1.5.0,1:1.6.0,1:3.1.0,1:3.3.0,1:4.2.0,1:4.3.0,1:4.4.0,1:4.5.0,1:4.6.0,1:5.1.0,1:5.1.1,1:5.2.0,1:5.3.0,1:5.4.0,1:5.6.0,1:6.1.0,1:6.3.0,1:6.4.0,1:6.4.1,1:6.5.0,1:6.6.0,1:7.1.0,1:7.2.0,1:7.4.0,",BAT,1TO30 of BAT(Sehwag)
1,501845,m18,"both Tendulkar and Sehwag were ball-watching, left both batsmen at one end",1:10.5.0,OUT,OUT(Tendulkar)
1,501845,m19,"Sehwag, however, continued piercing gaps and hit the tournament's first six, hoisting Razzak over wide long-on to reach fifty off 45 balls",1:14.1.0,BALL,"BALL(Sehwag, SCORE, 50, 45)"
1,501845,m20,"With Gautam Gambhir, Sehwag added 83 to build on the opening stand of 69","1:10.6.0,1:11.1.0,1:11.2.0,1:11.3.0,1:11.4.0,1:11.5.0,1:11.6.0,1:12.1.0,1:12.2.0,1:12.3.0,1:12.4.0,1:12.5.0,1:12.6.0,1:13.1.0,1:13.2.0,1:13.3.0,1:13.4.0,1:13.5.0,1:13.6.0,1:14.1.0,1:14.2.0,1:14.3.0,1:14.4.0,1:14.5.0,1:14.6.0,1:15.1.0,1:15.2.0,1:15.3.0,1:15.4.0,1:15.5.0,1:15.6.0,1:16.1.0,1:16.2.0,1:16.3.0,1:16.4.0,1:16.5.0,1:16.6.0,1:17.1.0,1:17.2.0,1:17.3.0,1:17.4.0,1:17.5.0,1:17.6.0,1:18.1.0,1:18.2.0,1:18.3.0,1:18.4.0,1:18.5.0,1:18.6.0,1:19.1.0,1:19.2.0,1:19.3.0,1:19.4.0,1:19.5.0,1:19.6.0,1:20.1.0,1:20.2.0,1:20.3.0,1:20.4.0,1:20.5.0,1:20.6.0,1:21.1.0,1:21.2.0,1:21.3.0,1:21.4.0,1:21.5.0,1:21.6.0,1:22.1.0,1:22.2.0,1:22.3.0,1:22.4.0,1:22.5.0,1:22.6.0,1:23.1.0,",PARTNERSHIP,"PARTNERSHIP(Sehwag, Gautam Gambhir)"
1,501845,m21,"His dismissal for a run-a-ball 39, bowled by a straight one from Mahmudullah",1:23.2.0,OUT,OUT(Gautam Gambhir)
1,501845,m22,Kohli's innings,"1:23.3.0,1:23.4.0,1:23.5.0,1:24.1.0,1:24.2.0,1:25.1.0,1:25.3.0,1:25.4.0,1:25.5.0,1:25.5.1,1:25.6.0,1:26.1.0,1:26.2.0,1:26.3.0,1:26.6.0,1:27.2.0,1:27.4.0,1:27.4.1,1:27.5.0,1:27.6.0,1:28.2.0,1:28.3.0,1:28.5.0,1:29.6.0,1:30.2.0,1:30.5.0,1:30.6.0,1:31.1.0,1:31.3.0,1:31.5.0,1:31.6.0,1:32.1.0,1:32.2.0,1:32.4.0,1:32.5.0,1:32.6.0,1:33.3.0,1:33.4.0,1:33.5.0,1:34.3.0,1:34.4.0,1:34.5.0,1:34.6.0,1:35.1.0,1:35.2.0,1:35.5.0,1:36.1.0,1:37.3.0,1:37.5.0,1:37.6.0,1:38.1.0,1:38.2.0,1:38.4.0,1:39.1.0,1:39.3.0,1:39.4.0,1:39.5.0,1:40.4.0,1:40.5.0,1:41.4.0,1:41.5.0,1:41.6.0,1:42.1.0,1:42.2.0,1:42.3.0,1:42.5.0,1:43.1.0,1:43.4.0,1:43.5.0,1:43.6.0,1:44.1.0,1:44.3.0,1:45.4.0,1:45.5.0,1:45.6.0,1:46.2.0,1:46.3.0,1:46.5.0,1:46.5.1,1:47.1.0,1:47.2.0,1:48.1.0,1:48.2.0,1:48.4.0,1:49.1.0,1:49.5.0,",BAT,BAT(Kohli)
1,501845,m23,"In the 33rd over, Kohli drove Naeem Islam twice to the cover boundary and pulled him behind square","1:32.1.0,1:32.5.0,1:32.6.0,",BAT,FOUR(Kohli) AND OVERS(1:33)
1,501845,m24,India took their batting Powerplay after the mandatory ball change and scored 48 for 0,"1:34.1.0,1:34.2.0,1:34.3.0,1:34.4.0,1:34.5.0,1:34.6.0,1:34.6.1,1:34.6.2,1:35.1.0,1:35.2.0,1:35.3.0,1:35.4.0,1:35.5.0,1:35.6.0,1:36.1.0,1:36.2.0,1:36.3.0,1:36.4.0,1:36.5.0,1:36.6.0,1:37.1.0,1:37.2.0,1:37.3.0,1:37.4.0,1:37.5.0,1:37.6.0,1:38.1.0,1:38.2.0,1:38.3.0,1:38.4.0,1:38.5.0,1:38.6.0,",POWERPLAY,"POWERPLAY(INNINGS1,3)"
1,501845,m25,He fell in the 48th over,1:47.3.0,OUT,OUT(Sehwag)
1,501845,m26,Kohli continued to motor towards a hundred in his first World Cup match and got there off the penultimate ball of the innings,1:49.5.0,BALL,"BALL(Kohli, SCORE, 100, ?)"
1,501845,m27,"Kayes edged, flicked, pulled and drove him for boundaries, and a wayward wide contributed to Bangladesh taking 24 runs off the fifth over","2:4.1.0,2:4.2.0,2:4.3.0,2:4.3.1,2:4.4.0,2:4.5.0,2:4.6.0,2:4.6.1,",OVERS,OVERS(2:5)
1,501845,m28,They were 51 for 0,2:4.6.1,BALL,"BALL(INNINGS2,SCORE,51,0)"
1,501845,m29,ending the opening partnership at 56,"2:0.1.0,2:0.2.0,2:0.3.0,2:0.4.0,2:0.5.0,2:0.6.0,2:1.1.0,2:1.2.0,2:1.3.0,2:1.4.0,2:1.5.0,2:1.6.0,2:2.1.0,2:2.2.0,2:2.3.0,2:2.4.0,2:2.5.0,2:2.6.0,2:3.1.0,2:3.1.1,2:3.2.0,2:3.3.0,2:3.4.0,2:3.5.0,2:3.6.0,2:4.1.0,2:4.2.0,2:4.3.0,2:4.3.1,2:4.4.0,2:4.5.0,2:4.6.0,2:4.6.1,2:5.1.0,2:5.2.0,2:5.3.0,2:5.4.0,2:5.5.0,2:5.6.0,2:6.1.0,2:6.2.0,2:6.3.0,2:6.4.0,",PARTNERSHIP,"PARTNERSHIP(Tamim, Imrul)"
1,501845,m30,the asking-rate was already 9.36,2:25.1.0,BALL,"BALL(INNINGS2, RRR, 9.36)"
1,501845,m31,Tamim and Shakib completed aggressive half-centuries,"2:27.6.0,2:38.5.0,",OTHERS,"BALL(Tamim, SCORE,50,?) UNION BALL(Shakib, SCORE, 50, ?)"
1,501976,m1,this time he lasted 134 balls more,"1:0.1.0,1:0.2.0,1:0.3.0,1:0.4.0,1:0.5.0,1:0.6.0,1:1.5.0,1:1.6.0,1:3.1.0,1:3.3.0,1:4.2.0,1:4.3.0,1:4.4.0,1:4.5.0,1:4.6.0,1:5.1.0,1:5.1.1,1:5.2.0,1:5.3.0,1:5.4.0,1:5.6.0,1:6.1.0,1:6.3.0,1:6.4.0,1:6.4.1,1:6.5.0,1:6.6.0,1:7.1.0,1:7.2.0,1:7.4.0,1:7.5.0,1:7.6.0,1:9.3.0,1:9.5.0,1:9.6.0,1:9.6.1,1:10.1.0,1:10.2.0,1:10.3.0,1:11.1.0,1:11.2.0,1:12.1.0,1:12.2.0,1:12.6.0,1:13.1.0,1:13.3.0,1:13.5.0,1:14.1.0,1:14.2.0,1:14.4.0,1:14.5.0,1:14.6.0,1:15.2.0,1:15.6.0,1:16.2.0,1:16.3.0,1:16.5.0,1:17.1.0,1:17.2.0,1:17.5.0,1:17.6.0,1:18.2.0,1:18.4.0,1:19.3.0,1:19.5.0,1:20.2.0,1:20.6.0,1:21.1.0,1:21.2.0,1:21.4.0,1:21.6.0,1:22.3.0,1:22.5.0,1:22.6.0,1:23.1.0,1:23.6.0,1:24.3.0,1:24.4.0,1:24.5.0,1:24.6.0,1:25.2.0,1:26.4.0,1:26.5.0,1:27.1.0,1:27.3.0,1:28.1.0,1:28.4.0,1:28.6.0,1:28.6.1,1:29.1.0,1:29.2.0,1:29.3.0,1:29.4.0,1:29.5.0,1:29.5.1,1:30.1.0,1:30.3.0,1:30.4.0,1:31.2.0,1:31.4.0,1:32.3.0,1:33.1.0,1:33.2.0,1:33.6.0,1:34.1.0,1:34.2.0,1:34.6.1,1:34.6.2,1:35.3.0,1:35.4.0,1:35.6.0,1:36.2.0,1:36.3.0,1:36.4.0,1:36.5.0,1:36.6.0,1:37.1.0,1:37.2.0,1:37.4.0,1:38.3.0,1:38.5.0,1:38.6.0,1:39.2.0,1:39.6.0,1:40.1.0,1:40.2.0,1:40.3.0,1:40.6.0,1:41.1.0,1:41.2.0,1:41.3.0,1:42.4.0,1:42.6.0,1:43.2.0,1:43.3.0,1:44.2.0,1:44.4.0,1:44.5.0,1:44.6.0,1:45.1.0,1:45.1.1,1:45.1.2,1:45.2.0,1:45.3.0,1:46.1.0,1:46.4.0,1:46.6.0,1:46.6.1,1:47.3.0,",BAT,BAT(Sehwag)
